# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -5.722542237601e+01 1.288018246186e+00 2.379403969117e+00 -5.705504194994e+01 1.298603128140e+00 2.379495129554e+00 -1.703804260690e-01 -1.058488195417e-02 -9.116043669647e-05
2                    -2.435013890389e+02 1.059816164513e+00 4.420702255602e+00 -2.432825288519e+02 1.075389162251e+00 4.420193933135e+00 -2.188601869979e-01 -1.557299773819e-02 5.083224670212e-04
3                    -5.892137925553e+01 2.037760943936e+00 -1.840161233213e+00 -5.896359074482e+01 2.053198458390e+00 -1.840154325404e+00 4.221148928840e-02 -1.543751445437e-02 -6.907809584138e-06
4                    1.129931132611e+02 -1.354208495079e-01 -2.873385734210e+00 1.127665068893e+02 -1.199599427120e-01 -2.874159028300e+00 2.266063717980e-01 -1.546090679582e-02 7.732940899106e-04
5                    2.609040830726e+02 -7.616455571074e+00 6.995813477808e-01 2.607284087039e+02 -7.607702679580e+00 6.982508622693e-01 1.756743686463e-01 -8.752891493721e-03 1.330485511521e-03
6                    1.196251197680e+02 -4.600870873599e+00 5.847904765656e+00 1.195772562345e+02 -4.600389002268e+00 5.846411598159e+00 4.786353355150e-02 -4.818713311620e-04 1.493167496667e-03
7                    -5.783406200309e+01 2.454792792779e+00 8.709180204069e+00 -5.776033137844e+01 2.446796356716e+00 8.708468415785e+00 -7.373062465293e-02 7.996436063011e-03 7.117882841589e-04
8                    -2.400839022071e+02 5.930290791389e+00 1.305832885964e+01 -2.399857342110e+02 5.928266802207e+00 1.305606019855e+01 -9.816799615252e-02 2.023989181481e-03 2.268661096103e-03
9                    -1.834704096063e+02 2.501824828274e+00 9.501164475343e+00 -1.834330930044e+02 2.502535886811e+00 9.495543647915e+00 -3.731660192177e-02 -7.110585372095e-04 5.620827427827e-03
10                   5.206487083969e+01 -6.418665257701e-01 -9.248889900251e+00 5.202157642578e+01 -6.397162649062e-01 -9.249137017115e+00 4.329441390082e-02 -2.150260863885e-03 2.471168637002e-04
11                   2.745378783592e+02 -1.250481291928e+00 -1.807400453895e+01 2.744839494656e+02 -1.248710181952e+00 -1.806806992312e+01 5.392889359998e-02 -1.771109975565e-03 -5.934615831343e-03
