# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -9.277390300830e-01 -6.299727573011e+01 1.406108033969e+01 -9.348564969969e-01 -6.288412640308e+01 1.416960815784e+01 7.117466913925e-03 -1.131493270340e-01 -1.085278181548e-01
2                    -7.777410245394e-01 -2.124548115392e+02 1.878976730865e+01 -7.881584118210e-01 -2.123032996883e+02 1.895391052886e+01 1.041738728158e-02 -1.515118508530e-01 -1.641432202094e-01
3                    -1.437916725685e+00 -1.996802910734e+01 3.296591217657e+01 -1.448132946235e+00 -1.999885827153e+01 3.313877503537e+01 1.021622055023e-02 3.082916419084e-02 -1.728628588095e-01
4                    1.373671429306e-02 1.069009189652e+02 2.873179508470e+00 3.432650595211e-03 1.067548834082e+02 3.057585611522e+00 1.030406369785e-02 1.460355570455e-01 -1.844061030524e-01
5                    5.019588638925e+00 1.649595501330e+02 -8.512361138088e+01 5.013506858407e+00 1.648554738262e+02 -8.502038709720e+01 6.081780518121e-03 1.040763068327e-01 -1.032242836717e-01
6                    3.077874599735e+00 1.379138992924e+01 -5.727839527582e+01 3.077437836928e+00 1.377400444853e+01 -5.727028752465e+01 4.367628068524e-04 1.738548071352e-02 -8.107751173778e-03
7                    -1.629845869603e+00 -1.367634155507e+02 1.811102928196e+01 -1.624525996608e+00 -1.367077441832e+02 1.801794168201e+01 -5.319872994531e-03 -5.567136758229e-02 9.308759994790e-02
8                    -3.683799997831e+00 -3.012583798598e+02 5.071344524283e+01 -3.682066692028e+00 -3.011704396217e+02 5.069106684414e+01 -1.733305802480e-03 -8.794023803938e-02 2.237839868625e-02
9                    -1.651651053460e+00 -2.221094615633e+02 1.949131994675e+01 -1.651822708717e+00 -2.220247431791e+02 1.949786146005e+01 1.716552574946e-04 -8.471838420682e-02 -6.541513298075e-03
10                   8.517237235079e-01 1.463791246117e+02 1.283426296705e-01 8.493461799073e-01 1.463453811305e+02 1.490775887135e-01 2.377543600634e-03 3.374348127736e-02 -2.073495904307e-02
11                   1.260018960780e+00 3.944121222722e+02 1.221218071676e+01 1.257630902501e+00 3.943014645267e+02 1.223191080599e+01 2.388058279723e-03 1.106577454708e-01 -1.973008923064e-02
12                   6.429319275769e-01 2.408479770649e+02 8.841486582564e+00 6.415894198557e-01 2.407228412117e+02 8.852376926339e+00 1.342507721201e-03 1.251358532580e-01 -1.089034377516e-02
13                   -9.006985049254e-01 -7.850293732445e+01 6.281827438778e+00 -9.008257386288e-01 -7.854187432091e+01 6.292809408505e+00 1.272337034301e-04 3.893699645340e-02 -1.098196972699e-02
14                   -1.920842870979e+00 -1.824694026112e+02 1.112858306925e+01 -1.919127825996e+00 -1.823981035101e+02 1.111955034348e+01 -1.715044982776e-03 -7.129910114273e-02 9.032725770445e-03
15                   -1.707447454859e+00 -9.096327893677e+01 1.006678426533e+01 -1.705765591726e+00 -9.089600102557e+01 1.005845864824e+01 -1.681863132374e-03 -6.727791119988e-02 8.325617090750e-03
16                   -2.496152392494e-01 8.654912193551e+01 -9.287538051777e-01 -2.479885180831e-01 8.656674070387e+01 -9.268883130165e-01 -1.626721166269e-03 -1.761876836530e-02 -1.865492161157e-03
17                   6.448061389486e-01 1.746057692861e+02 -9.516174081731e+00 6.458371074517e-01 1.745164631218e+02 -9.519367892771e+00 -1.030968503038e-03 8.930616432705e-02 3.193811039590e-03
18                   -5.040102955808e-01 1.126707494106e+02 3.468690356696e+00 -5.034177654773e-01 1.125400862980e+02 3.472629804217e+00 -5.925301035078e-04 1.306631126102e-01 -3.939447521115e-03
19                   -1.733651222122e+00 -2.752260972320e+01 1.087641446015e+01 -1.731264725867e+00 -2.760606165793e+01 1.085831261816e+01 -2.386496255351e-03 8.345193472608e-02 1.810184199142e-02
20                   -1.721937858190e+00 -9.554311065551e+01 8.042295623701e+00 -1.719087110514e+00 -9.554350736247e+01 8.019828427938e+00 -2.850747676610e-03 3.967069660936e-04 2.246719576339e-02
21                   -5.107035453970e-01 -3.297138154534e+01 1.450088630913e+00 -5.096090845676e-01 -3.295335624888e+01 1.449695844636e+00 -1.094460829365e-03 -1.802529645855e-02 3.927862774594e-04
22                   2.965809760685e-01 4.672501731281e+01 -3.392452176923e+00 2.961577565294e-01 4.669407015167e+01 -3.375489372355e+00 4.232195390753e-04 3.094716113742e-02 -1.696280456813e-02
23                   6.339538699172e-03 6.492560955152e+01 -5.117966489727e+00 4.802737634382e-03 6.485775615640e+01 -5.079018039765e+00 1.536801064790e-03 6.785339511513e-02 -3.894844996240e-02
24                   -9.751431760555e-01 2.274459510685e+01 1.490114221383e-02 -9.756519401740e-01 2.267443648342e+01 4.033845835071e-02 5.087641184408e-04 7.015862343654e-02 -2.543731613688e-02
25                   -1.571237499650e+00 -2.815357978337e+01 6.409786654101e+00 -1.571160887222e+00 -2.820145825196e+01 6.428486701123e+00 -7.661242742550e-05 4.787846858708e-02 -1.870004702208e-02
26                   -1.358710912194e+00 -5.132243969140e+01 7.092009202129e+00 -1.358091578316e+00 -5.134920697356e+01 7.104051205243e+00 -6.193338778208e-04 2.676728216457e-02 -1.204200311368e-02
27                   -7.388428571702e-01 -3.620632990497e+01 3.744125694398e+00 -7.376038903487e-01 -3.622873943415e+01 3.749535635848e+00 -1.238966821542e-03 2.240952917999e-02 -5.409941450505e-03
28                   -5.466196837983e-01 -8.128477764787e+00 2.045720939713e+00 -5.449694126757e-01 -8.160544834110e+00 2.044371312028e+00 -1.650271122632e-03 3.206706932344e-02 1.349627685069e-03
29                   -9.051503175320e-01 -1.741246477986e-01 2.743456260619e+00 -9.025380969660e-01 -2.028504448351e-01 2.732308304474e+00 -2.612220566056e-03 2.872579703657e-02 1.114795614491e-02
30                   -1.282515118714e+00 -1.639598267678e+01 3.620810535604e+00 -1.279137006959e+00 -1.640649951594e+01 3.604520153422e+00 -3.378111755333e-03 1.051683915547e-02 1.629038218236e-02
31                   -1.274021450855e+00 -3.572757580247e+01 3.038341987881e+00 -1.270298072808e+00 -3.573161653112e+01 3.016700719181e+00 -3.723378046670e-03 4.040728652268e-03 2.164126869931e-02
32                   -7.939174118042e-01 -4.112480410421e+01 -1.051357081488e+00 -7.903339078791e-01 -4.114633153950e+01 -1.077898147324e+00 -3.583503925104e-03 2.152743528913e-02 2.654106583588e-02
33                   -1.966685384469e-01 -2.813318711695e+01 -6.554462509849e+00 -1.927777498919e-01 -2.817643199460e+01 -6.589057190702e+00 -3.890788554956e-03 4.324487764458e-02 3.459468085373e-02
34                   7.513566904564e-02 -8.097034437844e+00 -9.584170926287e+00 7.983206354148e-02 -8.141506534407e+00 -9.627161680448e+00 -4.696394495839e-03 4.447209656347e-02 4.299075416120e-02
35                   -1.544869325314e-01 4.706519769720e+00 -6.896679279679e+00 -1.490585587409e-01 4.676358136906e+00 -6.943839124904e+00 -5.428373790543e-03 3.016163281382e-02 4.715984522539e-02
36                   -5.678680066662e-01 7.547805179152e+00 -8.505307432289e-01 -5.617953507455e-01 7.534332734712e+00 -9.003900752128e-01 -6.072655920682e-03 1.347244444069e-02 4.985933198390e-02
37                   -8.042582439672e-01 5.887527302629e+00 3.956297478269e+00 -7.978735858913e-01 5.879416490366e+00 3.907924091170e+00 -6.384658075946e-03 8.110812263203e-03 4.837338709869e-02
38                   -7.473549826584e-01 5.362520917340e+00 5.466447613480e+00 -7.409276173600e-01 5.348758797504e+00 5.422080903354e+00 -6.427365298399e-03 1.376211983583e-02 4.436671012611e-02
39                   -5.370774116796e-01 8.485485799480e+00 4.933092215780e+00 -5.308613755534e-01 8.464395373603e+00 4.892941618100e+00 -6.216036126150e-03 2.109042587646e-02 4.015059767963e-02
40                   -3.546561647615e-01 1.341170313460e+01 4.088647045732e+00 -3.484951362786e-01 1.339132097167e+01 4.049028583024e+00 -6.161028482847e-03 2.038216292508e-02 3.961846270805e-02
41                   -2.948709076158e-01 1.718967358143e+01 3.876468776993e+00 -2.886380363714e-01 1.717789310522e+01 3.835893409295e+00 -6.232871244328e-03 1.178047621294e-02 4.057536769835e-02
42                   -3.463345245747e-01 1.863098542369e+01 4.475470467226e+00 -3.400774373090e-01 1.862556823374e+01 4.434282117402e+00 -6.257087265712e-03 5.417189953746e-03 4.118834982421e-02
43                   -4.234974561424e-01 1.743076165829e+01 5.163103480907e+00 -4.174075627799e-01 1.742196244430e+01 5.123162723105e+00 -6.089893362420e-03 8.799213986086e-03 3.994075780193e-02
44                   -4.606931787819e-01 1.396221203952e+01 5.306151013886e+00 -4.550557129745e-01 1.394384695834e+01 5.271036787158e+00 -5.637465807317e-03 1.836508117550e-02 3.511422672755e-02
45                   -4.569702017798e-01 1.023006176163e+01 5.128106360209e+00 -4.518501739437e-01 1.020524524177e+01 5.098115454821e+00 -5.120027836141e-03 2.481651986245e-02 2.999090538824e-02
46                   -4.268992177695e-01 8.263475322101e+00 4.939410935084e+00 -4.221744936496e-01 8.236966085326e+00 4.911719351994e+00 -4.724724119873e-03 2.650923677457e-02 2.769158308945e-02
47                   -4.113280388933e-01 8.038048090346e+00 5.088547624669e+00 -4.069346433765e-01 8.011506805661e+00 5.061024978662e+00 -4.393395516840e-03 2.654128468486e-02 2.752264600653e-02
