# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -5.671372069260e+01 1.362664669015e+00 2.039846498751e+00 -5.654349348933e+01 1.373211588284e+00 2.039994946742e+00 -1.702272032679e-01 -1.054691926888e-02 -1.484479912210e-04
2                    -2.394764034832e+02 1.111182452717e+00 3.929267225648e+00 -2.392576863037e+02 1.126671014921e+00 3.928950710779e+00 -2.187171795499e-01 -1.548856220385e-02 3.165148686134e-04
3                    -5.792236130535e+01 2.005732933892e+00 -1.951048590299e+00 -5.796434645477e+01 2.021072038561e+00 -1.950883657733e+00 4.198514941818e-02 -1.533910466908e-02 -1.649325661688e-04
4                    1.118705398022e+02 -1.406576212599e-01 -2.755429999911e+00 1.116443865493e+02 -1.254621765680e-01 -2.756034913064e+00 2.261532528578e-01 -1.519544469196e-02 6.049131531155e-04
5                    2.573513436024e+02 -7.170775375080e+00 7.184596063442e-01 2.571774071312e+02 -7.162247626276e+00 7.169541782005e-01 1.739364712108e-01 -8.527748803418e-03 1.505428143759e-03
6                    1.179578041154e+02 -4.323661966314e+00 5.782424034289e+00 1.179121143193e+02 -4.323172613951e+00 5.780919929203e+00 4.568979606445e-02 -4.893523628948e-04 1.504105086331e-03
7                    -5.710122773484e+01 2.521205627819e+00 8.690566222669e+00 -5.702976568088e+01 2.513293149835e+00 8.689437608276e+00 -7.146205395832e-02 7.912477983775e-03 1.128614392649e-03
8                    -2.477558247214e+02 5.733321937824e+00 1.101629493229e+01 -2.476595012588e+02 5.731197295248e+00 1.101334576530e+01 -9.632346263305e-02 2.124642575925e-03 2.949166997822e-03
9                    -1.885240637394e+02 1.973320743691e+00 6.958034509232e+00 -1.884853247753e+02 1.974920834510e+00 6.952815080975e+00 -3.873896401445e-02 -1.600090818796e-03 5.219428257718e-03
10                   3.991865233892e+01 -1.278927788501e+00 -1.003371258145e+01 3.987350814197e+01 -1.276224341654e+00 -1.003463995623e+01 4.514419695269e-02 -2.703446847510e-03 9.273747805678e-04
11                   2.976622854023e+02 -2.128305515974e+00 -1.749403374089e+01 2.976037165376e+02 -2.126597535168e+00 -1.748752268167e+01 5.856886463176e-02 -1.707980805202e-03 -6.511059221220e-03
12                   2.536335077848e+02 -1.440776951506e+00 -8.628498409409e+00 2.535978448925e+02 -1.439942906885e+00 -8.619475903659e+00 3.566289227233e-02 -8.340446201010e-04 -9.022505750560e-03
13                   3.564008005831e+01 4.438931610041e-01 7.854578106364e+00 3.564629140001e+01 4.440385208616e-01 7.857702640974e+00 -6.211341703085e-03 -1.453598574558e-04 -3.124534610619e-03
14                   -7.902599584468e+01 1.932661217692e+00 1.186474677651e+01 -7.897875640433e+01 1.931963386939e+00 1.186047956779e+01 -4.723944034988e-02 6.978307523663e-04 4.267208716919e-03
15                   -1.495626530897e+02 2.673679197715e+00 2.628129599818e+00 -1.495167061687e+02 2.672105840930e+00 2.625609584745e+00 -4.594692091877e-02 1.573356785439e-03 2.520015073189e-03
16                   -5.841430237850e+01 7.363112830257e-01 -7.179536364730e+00 -5.840693951400e+01 7.359235926667e-01 -7.178359827154e+00 -7.362864508509e-03 3.876903589430e-04 -1.176537575632e-03
17                   5.697099165769e+01 -1.083713379995e+00 -1.093816060291e+01 5.692811658252e+01 -1.086537738385e+00 -1.093340671338e+01 4.287507516881e-02 2.824358390191e-03 -4.753889525443e-03
18                   1.282979992651e+02 -6.226344766815e-01 -5.720201996613e+00 1.282617092598e+02 -6.259105176547e-01 -5.715620330416e+00 3.629000538424e-02 3.276040973164e-03 -4.581666197036e-03
19                   7.718580425238e+01 2.804565134852e-01 1.427545301607e+00 7.717537944278e+01 2.760417194838e-01 1.429747738956e+00 1.042480960093e-02 4.414794001361e-03 -2.202437349224e-03
20                   -8.290498677256e+00 7.683345158951e-01 4.716918494387e+00 -8.280220538789e+00 7.631569894980e-01 4.716593922266e+00 -1.027813846718e-02 5.177526397043e-03 3.245721209420e-04
21                   -3.419433557885e+01 6.616630723342e-01 2.027782087791e+00 -3.417807735222e+01 6.572248716249e-01 2.028278895334e+00 -1.625822662882e-02 4.438200709378e-03 -4.968075436512e-04
