# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -9.835475359478e-01 -4.255774425103e+01 3.725495354815e+00 -9.906310026341e-01 -4.244413449390e+01 3.747579344396e+00 7.083466686339e-03 -1.136097571284e-01 -2.208398958157e-02
2                    -8.145467996555e-01 -1.725503641523e+02 1.016922204215e+01 -8.249158048107e-01 -1.724033353622e+02 1.020616092460e+01 1.036900515518e-02 -1.470287900864e-01 -3.693888244791e-02
3                    -1.410714969619e+00 -3.411901962637e+01 1.609719305631e+01 -1.420881032420e+00 -3.414990054817e+01 1.614401201030e+01 1.016606280137e-02 3.088092180604e-02 -4.681895398860e-02
4                    1.688812543384e-02 8.262553776339e+01 3.962066958989e+00 6.755707506974e-03 8.247328624086e+01 4.019665347904e+00 1.013241792686e-02 1.522515225219e-01 -5.759838891432e-02
5                    4.729287720050e+00 1.688520976476e+02 -2.150041888194e+01 4.723348952054e+00 1.687385583534e+02 -2.146890110460e+01 5.938767995777e-03 1.135392942022e-01 -3.151777733569e-02
6                    2.898836268882e+00 6.078983598937e+01 -1.835722845063e+01 2.898391983332e+00 6.076191105554e+01 -1.835283265712e+01 4.442855496643e-04 2.792493383456e-02 -4.395793509509e-03
7                    -1.719126765488e+00 -6.522378078498e+01 -1.474000988165e+00 -1.713790536772e+00 -6.517417667070e+01 -1.500524787991e+00 -5.336228715236e-03 -4.960411427718e-02 2.652379982573e-02
8                    -3.651261662388e+00 -1.952326583643e+02 -1.226138914223e+00 -3.649365104734e+00 -1.951620778044e+02 -1.231482509406e+00 -1.896557654640e-03 -7.058055991382e-02 5.343595182883e-03
9                    -1.209705604837e+00 -1.408512914481e+02 -4.973378082558e+00 -1.210586780085e+00 -1.408137820908e+02 -4.968981919316e+00 8.811752484620e-04 -3.750935735561e-02 -4.396163241727e-03
10                   1.378699670029e+00 6.325493328326e+01 1.957708473671e+00 1.376202184062e+00 6.322059078349e+01 1.962144261768e+00 2.497485967759e-03 3.434249976971e-02 -4.435788097004e-03
11                   1.869764671519e+00 2.591055753272e+02 2.549514572165e+01 1.867478924509e+00 2.590394131505e+02 2.549924087715e+01 2.285747009780e-03 6.616217668177e-02 -4.095155493944e-03
12                   1.113983781880e+00 1.980756938924e+02 2.169149441520e+01 1.112956192934e+00 1.980188993554e+02 2.169709366559e+01 1.027588946939e-03 5.679453700632e-02 -5.599250389992e-03
13                   -9.242703363969e-01 2.794966090661e-01 3.554687621458e+00 -9.235566030636e-01 2.703358435384e-01 3.561761664103e+00 -7.137333333214e-04 9.160765527691e-03 -7.074042644690e-03
14                   -1.973600840138e+00 -8.808644313720e+01 -5.883307422733e+00 -1.971154292085e+00 -8.804305496740e+01 -5.876255697290e+00 -2.446548052491e-03 -4.338816979908e-02 -7.051725443942e-03
15                   -1.962972069883e+00 -1.048630300193e+02 -1.346131989279e+01 -1.960587431943e+00 -1.048268594524e+02 -1.345853101659e+01 -2.384637939878e-03 -3.617056690204e-02 -2.788876192456e-03
16                   -3.640822539124e-01 -1.441137511728e+01 -6.710052273948e+00 -3.625752555329e-01 -1.441440045505e+01 -6.709875906642e+00 -1.506998379519e-03 3.025337768111e-03 -1.763673064777e-04
17                   4.724115284063e-01 7.035036402760e+01 1.733913816245e+00 4.753821919931e-01 7.030280121235e+01 1.721769915013e+00 -2.970663586850e-03 4.756281524993e-02 1.214390123216e-02
18                   -5.180036813326e-01 1.001783702150e+02 1.435164512648e+01 -5.143835178997e-01 1.001351765430e+02 1.434302592664e+01 -3.620163432923e-03 4.319367205690e-02 8.619199837969e-03
19                   -1.506229459778e+00 4.582273314452e+01 1.035105073872e+01 -1.501665791471e+00 4.580262753569e+01 1.034245364951e+01 -4.563668307156e-03 2.010560883597e-02 8.597089207130e-03
20                   -1.609688861834e+00 -1.822290985506e+01 1.041832115614e+00 -1.604905209971e+00 -1.822164433637e+01 1.032674320166e+00 -4.783651863497e-03 -1.265518685735e-03 9.157795447953e-03
21                   -8.824446687734e-01 -2.666886596371e+01 -3.472063857220e+00 -8.786830868428e-01 -2.666577093307e+01 -3.478439642692e+00 -3.761581930600e-03 -3.095030641950e-03 6.375785471594e-03
22                   -4.735025640072e-01 -8.757383334687e+00 -3.718510106521e+00 -4.714478111046e-01 -8.769820491718e+00 -3.720240192119e+00 -2.054752902564e-03 1.243715703092e-02 1.730085598429e-03
23                   -5.093862748857e-01 1.780646099196e+01 -8.613077541328e-01 -5.065216940465e-01 1.778222721181e+01 -8.684402662877e-01 -2.864580839202e-03 2.423378014937e-02 7.132512154977e-03
24                   -8.855128124350e-01 2.641284258997e+01 2.406515911823e+00 -8.814726644754e-01 2.638800038616e+01 2.394654805158e+00 -4.040147959672e-03 2.484220381096e-02 1.186110666549e-02
25                   -1.210889283261e+00 1.298721635726e+01 3.491017697016e+00 -1.206852303863e+00 1.296982421629e+01 3.482572068421e+00 -4.036979398325e-03 1.739214097085e-02 8.445628594789e-03
26                   -1.067958966297e+00 -2.962275476762e+00 2.142317294286e+00 -1.064000481969e+00 -2.972682152376e+00 2.136987680494e+00 -3.958484327551e-03 1.040667561373e-02 5.329613791958e-03
27                   -7.081433014782e-01 -6.077046481826e+00 4.324244996824e-01 -7.043276402777e-01 -6.084375835659e+00 4.293274835132e-01 -3.815661200519e-03 7.329353832967e-03 3.097016169222e-03
28                   -6.098331903810e-01 1.623054916763e+00 -2.739467735297e-01 -6.063086985574e-01 1.614230877616e+00 -2.757472579468e-01 -3.524491823607e-03 8.824039146833e-03 1.800484417060e-03
29                   -8.506510684291e-01 9.155990821017e+00 3.187783137046e-01 -8.468073706355e-01 9.145482567410e+00 3.158268793351e-01 -3.843697793614e-03 1.050825360708e-02 2.951434369465e-03
30                   -9.930584680163e-01 9.353019402877e+00 8.382536121918e-01 -9.887854910533e-01 9.342396317554e+00 8.330551384063e-01 -4.272976962990e-03 1.062308532301e-02 5.198473785486e-03
31                   -1.009588094063e+00 4.469018204332e+00 1.363383626042e+00 -1.005296262402e+00 4.461538568303e+00 1.357622593956e+00 -4.291831661152e-03 7.479636028665e-03 5.761032085461e-03
32                   -8.243077664274e-01 1.509720962471e-01 1.266178020751e+00 -8.203623016960e-01 1.442365835512e-01 1.260782467568e+00 -3.945464731444e-03 6.735512695884e-03 5.395553183570e-03
33                   -6.230914700605e-01 -3.495032309649e-02 7.489514914606e-01 -6.193520010842e-01 -4.523258216946e-02 7.427976650456e-01 -3.739468976289e-03 1.028225907297e-02 6.153826414963e-03
34                   -5.665259891065e-01 2.759616736548e+00 5.252160473226e-01 -5.627832102544e-01 2.747135165602e+00 5.185211103527e-01 -3.742778852064e-03 1.248157094591e-02 6.694936969905e-03
35                   -6.586264450371e-01 4.519146504823e+00 7.065867266614e-01 -6.546894922095e-01 4.508844188691e+00 6.996447252448e-01 -3.936952827648e-03 1.030231613176e-02 6.942001416636e-03
36                   -7.322757547856e-01 3.835669545609e+00 1.023262081144e+00 -7.282985976066e-01 3.828368667378e+00 1.016268096376e+00 -3.977157179003e-03 7.300878231318e-03 6.993984768310e-03
37                   -7.186186782970e-01 1.854704220420e+00 1.179654224426e+00 -7.148766257685e-01 1.848154271403e+00 1.172952014207e+00 -3.742052528550e-03 6.549949017217e-03 6.702210218564e-03
38                   -6.715887276518e-01 6.453403460589e-01 1.143033816572e+00 -6.682443945650e-01 6.372372290386e-01 1.136836080712e+00 -3.344333086759e-03 8.103117020320e-03 6.197735859540e-03
39                   -6.459562888528e-01 9.839746647421e-01 9.501230380290e-01 -6.427914238868e-01 9.740353257883e-01 9.440220085343e-01 -3.164864966022e-03 9.939338953839e-03 6.101029494667e-03
40                   -6.441996928280e-01 1.992119195612e+00 7.828778792292e-01 -6.408725674919e-01 1.982851031747e+00 7.766411916307e-01 -3.327125336068e-03 9.268163864750e-03 6.236687598418e-03
41                   -6.478374212491e-01 2.383832762037e+00 7.487839099056e-01 -6.443032886698e-01 2.377296820663e+00 7.425329398152e-01 -3.534132579357e-03 6.535941374268e-03 6.250970090433e-03
42                   -6.309661846915e-01 1.882197187414e+00 7.700438700462e-01 -6.274794517928e-01 1.877114891946e+00 7.639488015727e-01 -3.486732898674e-03 5.082295468489e-03 6.095068473522e-03
43                   -6.054730567208e-01 1.108977091766e+00 7.686532247122e-01 -6.022987777875e-01 1.102858774708e+00 7.628787850625e-01 -3.174278933322e-03 6.118317058755e-03 5.774439649643e-03
44                   -5.953636192597e-01 7.315445473138e-01 7.469844620411e-01 -5.924692272522e-01 7.236455956941e-01 7.416272066481e-01 -2.894392007508e-03 7.898951619727e-03 5.357255392971e-03
45                   -6.065683690697e-01 8.812099269729e-01 7.560795535006e-01 -6.037093175419e-01 8.730701651687e-01 7.512080857632e-01 -2.859051527820e-03 8.139761804235e-03 4.871467737379e-03
46                   -6.163105779304e-01 1.174575753166e+00 7.829348073361e-01 -6.133240464072e-01 1.167352400136e+00 7.783027033259e-01 -2.986531523247e-03 7.223353029843e-03 4.632104010164e-03
47                   -6.035261655785e-01 1.310924546184e+00 8.004474317444e-01 -6.004720411953e-01 1.304507120349e+00 7.960125192263e-01 -3.054124383187e-03 6.417425834402e-03 4.434912518101e-03
48                   -5.721859136584e-01 1.256530155363e+00 7.944139673222e-01 -5.691916311768e-01 1.249999194425e+00 7.902508385037e-01 -2.994282481603e-03 6.530960938394e-03 4.163128818498e-03
49                   -5.412835889469e-01 1.112268278312e+00 7.716816378437e-01 -5.384230593069e-01 1.104907671127e+00 7.677650672164e-01 -2.860529640036e-03 7.360607185508e-03 3.916570627314e-03
50                   -5.272766126474e-01 9.670168412489e-01 7.517980535307e-01 -5.245017108005e-01 9.590227837475e-01 7.480345708585e-01 -2.774901846956e-03 7.994057501301e-03 3.763482672167e-03
51                   -5.321192993223e-01 8.688356515289e-01 7.460811797773e-01 -5.293233346894e-01 8.607966668956e-01 7.423742924222e-01 -2.795964632840e-03 8.038984633218e-03 3.706887355061e-03
