# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	Uz_initial          	Uz_final            	Uz_iters            	U_converged         	k_solver            	k_initial           	k_final             	k_iters             	k_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         	omega_solver        	omega_initial       	omega_final         	omega_iters         	omega_converged     
1                   	DILUPBiCGStab	9.999999939380e-01	3.845283918140e-04	5	9.999999721900e-01	3.837215925550e-04	5	1.000000000000e+00	3.621674579860e-04	4	false	DILUPBiCGStab	1.000000000000e+00	1.559967815270e-04	1	true	GAMGPCG	1.000000000000e+00	5.717915067260e-04	17	true	DILUPBiCGStab	1.412552906790e-01	8.221075702600e-06	1	true
2                   	DILUPBiCGStab	1.046901258960e-02	2.016361077480e-06	3	3.012671172240e-02	6.281093589460e-06	3	3.310085408610e-01	2.258887502580e-04	3	false	DILUPBiCGStab	5.954653993270e-02	5.146472851320e-05	1	true	GAMGPCG	3.700899397810e-02	2.802765207900e-05	4	true	DILUPBiCGStab	1.916893426690e-02	9.724161993620e-06	1	true
3                   	DILUPBiCGStab	1.734905139350e-02	1.156919835820e-05	2	2.339074194020e-02	7.113752754140e-06	3	1.620715770220e-01	4.956637660200e-05	3	false	DILUPBiCGStab	1.315518199120e-02	2.061481896170e-06	2	true	GAMGPCG	1.407563345540e-02	9.265386588220e-06	5	true	DILUPBiCGStab	5.160125507880e-03	8.967115950840e-07	2	true
4                   	DILUPBiCGStab	3.354255252710e-02	5.016246683950e-06	3	1.942121383440e-02	6.462768728540e-06	3	3.106390007650e-01	8.466867147250e-05	3	false	DILUPBiCGStab	8.533355216460e-03	1.744896187410e-06	2	true	GAMGPCG	3.245786068730e-01	1.124940856270e-04	6	true	DILUPBiCGStab	5.627785728910e-03	1.390014203980e-06	2	true
5                   	DILUPBiCGStab	2.630259166300e-02	1.296821813470e-05	2	2.910856657160e-02	6.286267695990e-06	3	1.516572325770e-01	1.142455744790e-04	2	false	DILUPBiCGStab	1.650430006110e-02	1.450515027130e-06	2	true	GAMGPCG	1.909741437080e-02	1.490125464800e-05	6	true	DILUPBiCGStab	7.428050319790e-03	1.355745734620e-06	2	true
6                   	DILUPBiCGStab	6.225414447340e-02	4.129577085480e-05	3	3.955305081970e-02	8.436538322640e-06	3	2.471097540770e-01	1.699051710590e-04	2	false	DILUPBiCGStab	1.193513888710e-02	1.033457102470e-05	1	true	GAMGPCG	8.127399186560e-03	5.565697596210e-06	5	true	DILUPBiCGStab	8.519394606020e-03	7.318851716520e-06	1	true
7                   	DILUPBiCGStab	3.701885653470e-02	2.936181202590e-05	2	5.493587266250e-02	9.421055295640e-06	3	3.674572626090e-01	2.981771202200e-04	2	false	DILUPBiCGStab	1.324119340680e-02	1.034453846080e-06	2	true	GAMGPCG	4.255910858540e-02	3.379221984400e-05	6	true	DILUPBiCGStab	1.203717580020e-02	2.288113021590e-06	2	true
8                   	DILUPBiCGStab	2.557663989270e-02	1.469605912510e-05	2	1.115732846470e-01	9.769457951680e-05	2	2.596065462390e-01	2.851893690020e-05	3	false	DILUPBiCGStab	1.135433816940e-02	1.173452043170e-06	2	true	GAMGPCG	2.037135618500e-02	1.425224120520e-05	6	true	DILUPBiCGStab	8.274466897730e-03	6.981521784020e-07	2	true
9                   	DILUPBiCGStab	2.869429291040e-02	2.065180654390e-05	2	7.500617737020e-02	5.837437845150e-05	2	3.691438731250e-01	2.077464246410e-04	2	false	DILUPBiCGStab	8.791176531630e-03	8.708555734670e-07	2	true	GAMGPCG	7.071842366840e-03	3.672026588700e-06	5	true	DILUPBiCGStab	6.219329764140e-03	5.211029416630e-07	2	true
10                  	DILUPBiCGStab	3.487888605510e-02	3.291456514440e-05	2	4.775697609380e-02	8.476823526970e-06	3	2.269939948720e-01	3.228125631420e-05	3	false	DILUPBiCGStab	1.101792076820e-02	1.736586648670e-06	2	true	GAMGPCG	1.561713434780e-02	6.980580322260e-06	6	true	DILUPBiCGStab	5.574632907800e-03	8.666818413090e-07	2	true
