# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -3.569281967515e-03 -2.307642445737e+01 -3.193350004055e-05 -3.220476460031e-03 -1.260009034213e+01 -2.463391225271e-05 -3.488055074837e-04 -1.047633411524e+01 -7.299587787835e-06
2                    -3.962360906019e-03 -2.024788071105e+01 2.602666563456e-05 -2.860549845139e-03 -1.318296205293e+01 -2.655483342129e-05 -1.101811060880e-03 -7.064918658118e+00 5.258149905585e-05
3                    -3.747742027412e-03 -1.170298090299e+01 9.757595717597e-05 -2.268088114478e-03 -6.790362544104e+00 -1.367397480601e-05 -1.479653912934e-03 -4.912618358889e+00 1.112499319820e-04
4                    -5.726796665380e-03 -4.334960376850e+00 1.524911980956e-04 -3.935254973152e-03 -8.968777009829e-01 2.117954209790e-07 -1.791541692228e-03 -3.438082675867e+00 1.522794026746e-04
5                    -8.812915197287e-03 -1.870900368009e+00 1.825095671017e-04 -6.305191576581e-03 8.152518077201e-01 9.819722501088e-06 -2.507723620706e-03 -2.686152175729e+00 1.726898446006e-04
6                    -9.976888932867e-03 -3.309652285753e+00 2.467658353506e-04 -6.580022474079e-03 -7.420368393851e-01 2.261037439838e-05 -3.396866458787e-03 -2.567615446368e+00 2.241554609523e-04
7                    -8.408963391469e-03 -5.551710727261e+00 3.635041688142e-04 -4.531491805317e-03 -2.802600176000e+00 4.339606077486e-05 -3.877471586152e-03 -2.749110551261e+00 3.201081080394e-04
8                    -6.344142902241e-03 -6.425696856030e+00 5.014091027788e-04 -2.571415271438e-03 -3.544781886420e+00 7.216432647766e-05 -3.772727630803e-03 -2.880914969610e+00 4.292447763012e-04
9                    -6.271833753827e-03 -5.770867345953e+00 6.131537331460e-04 -2.775952129110e-03 -2.961449645269e+00 1.038914076236e-04 -3.495881624718e-03 -2.809417700684e+00 5.092623255224e-04
10                   -8.278675642793e-03 -4.631703839437e+00 6.804297925861e-04 -4.731060109201e-03 -2.035488364432e+00 1.309744690298e-04 -3.547615533592e-03 -2.596215475005e+00 5.494553235563e-04
11                   -1.035706189096e-02 -3.954292668908e+00 7.193103926520e-04 -6.363908180410e-03 -1.567597359694e+00 1.489811414990e-04 -3.993153710555e-03 -2.386695309214e+00 5.703292511530e-04
12                   -1.069535614576e-02 -3.937610285546e+00 7.366095553051e-04 -6.226304120926e-03 -1.665699107481e+00 1.579021211945e-04 -4.469052024830e-03 -2.271911178065e+00 5.787074341106e-04
13                   -9.357804213387e-03 -4.218100117835e+00 7.429131005592e-04 -4.753879978730e-03 -1.973347838458e+00 1.601228049949e-04 -4.603924234656e-03 -2.244752279377e+00 5.827902955643e-04
14                   -7.809416276219e-03 -4.384676666846e+00 7.344778908412e-04 -3.441281772566e-03 -2.140091371413e+00 1.588701982332e-04 -4.368134503653e-03 -2.244585295433e+00 5.756076926081e-04
15                   -7.296809364428e-03 -4.301044233032e+00 7.061644595758e-04 -3.268358042436e-03 -2.078807836742e+00 1.561101849261e-04 -4.028451321992e-03 -2.222236396290e+00 5.500542746497e-04
16                   -7.797461443293e-03 -4.084429383841e+00 6.569301162111e-04 -3.950472343015e-03 -1.914455019655e+00 1.517628114064e-04 -3.846989100278e-03 -2.169974364187e+00 5.051673048047e-04
17                   -8.383466970969e-03 -3.906076005313e+00 5.926276430372e-04 -4.524508333971e-03 -1.797000292614e+00 1.448208510086e-04 -3.858958636998e-03 -2.109075712700e+00 4.478067920287e-04
18                   -8.269568442360e-03 -3.839245397001e+00 5.193063717395e-04 -4.365476655107e-03 -1.777773605003e+00 1.348682207377e-04 -3.904091787252e-03 -2.061471791999e+00 3.844381510017e-04
19                   -7.459615974515e-03 -3.846239950141e+00 4.402619082781e-04 -3.637258509958e-03 -1.813409980416e+00 1.220904732920e-04 -3.822357464556e-03 -2.032829969726e+00 3.181714349861e-04
20                   -6.526674264385e-03 -3.854184947482e+00 3.564365514365e-04 -2.934086343359e-03 -1.839418145428e+00 1.075147502647e-04 -3.592587921026e-03 -2.014766802054e+00 2.489218011718e-04
21                   -5.964193561436e-03 -3.824377731111e+00 2.683140280100e-04 -2.651569178123e-03 -1.827764727179e+00 9.218304017247e-05 -3.312624383313e-03 -1.996613003932e+00 1.761309878376e-04
22                   -5.803908487001e-03 -3.766271532141e+00 1.772586025757e-04 -2.718948072952e-03 -1.792211648852e+00 7.672901561301e-05 -3.084960414050e-03 -1.974059883289e+00 1.005295869627e-04
23                   -5.730345446116e-03 -3.709384520755e+00 8.545072034177e-05 -2.797774290262e-03 -1.759841965578e+00 6.123242230055e-05 -2.932571155854e-03 -1.949542555177e+00 2.421829804122e-05
24                   -5.455925100150e-03 -3.672173362999e+00 -4.804275027831e-06 -2.649144144345e-03 -1.744710593418e+00 4.573169895311e-05 -2.806780955804e-03 -1.927462769581e+00 -5.053597398094e-05
25                   -4.953122903552e-03 -3.652451487680e+00 -9.210767126426e-05 -2.300979546302e-03 -1.742535953197e+00 3.027482128273e-05 -2.652143357250e-03 -1.909915534483e+00 -1.223824925470e-04
26                   -4.394943873134e-03 -3.637572003879e+00 -1.759479544885e-04 -1.939431225514e-03 -1.741661041972e+00 1.505202472332e-05 -2.455512647620e-03 -1.895910961907e+00 -1.909999792118e-04
27                   -3.951416969030e-03 -3.618256780366e+00 -2.560774281628e-04 -1.707359591457e-03 -1.735005277755e+00 3.639171299585e-07 -2.244057377573e-03 -1.883251502611e+00 -2.564413452927e-04
28                   -3.652716129217e-03 -3.594088022814e+00 -3.321465725874e-04 -1.602015978952e-03 -1.723510909819e+00 -1.358348076541e-05 -2.050700150265e-03 -1.870577112995e+00 -3.185630918220e-04
29                   -3.412729327419e-03 -3.569984576789e+00 -4.036242793449e-04 -1.526532130801e-03 -1.712015931738e+00 -2.671843688867e-05 -1.886197196618e-03 -1.857968645051e+00 -3.769058424562e-04
30                   -3.139065772414e-03 -3.550072082318e+00 -4.699578792867e-04 -1.400398980498e-03 -1.703847251742e+00 -3.901385038971e-05 -1.738666791916e-03 -1.846224830575e+00 -4.309440288970e-04
31                   -2.810742816662e-03 -3.534706412546e+00 -5.308531871708e-04 -1.219155081341e-03 -1.698818108949e+00 -5.046715500714e-05 -1.591587735321e-03 -1.835888303597e+00 -4.803860321637e-04
32                   -2.470254065320e-03 -3.521646347387e+00 -5.863038462958e-04 -1.031076747506e-03 -1.694783917464e+00 -6.105071394338e-05 -1.439177317814e-03 -1.826862429923e+00 -5.252531323524e-04
33                   -2.167304132844e-03 -3.508757031799e+00 -6.364630048123e-04 -8.797928690748e-04 -1.690078736396e+00 -7.073562896817e-05 -1.287511263770e-03 -1.818678295403e+00 -5.657273758441e-04
34                   -1.916681599603e-03 -3.495537970860e+00 -6.814972756830e-04 -7.711026918193e-04 -1.684587268013e+00 -7.951756949229e-05 -1.145578907784e-03 -1.810950702847e+00 -6.019797061908e-04
35                   -1.699139994534e-03 -3.482771475895e+00 -7.215234987240e-04 -6.820067199022e-04 -1.679175088892e+00 -8.741469569040e-05 -1.017133274631e-03 -1.803596387002e+00 -6.341088030336e-04
36                   -1.488891683168e-03 -3.471319583127e+00 -7.566388250080e-04 -5.892643378838e-04 -1.674582874791e+00 -9.445279702588e-05 -8.996273452838e-04 -1.796736708336e+00 -6.621860279821e-04
37                   -1.276253325774e-03 -3.461350144166e+00 -7.869895203211e-04 -4.877090254096e-04 -1.670867624994e+00 -1.006602967336e-04 -7.885443003642e-04 -1.790482519172e+00 -6.863292235875e-04
38                   -1.068924680996e-03 -3.452426009050e+00 -8.128055454649e-04 -3.872489031681e-04 -1.667611456942e+00 -1.060672233572e-04 -6.816757778275e-04 -1.784814552108e+00 -7.067383221077e-04
39                   -8.789879275762e-04 -3.444040188892e+00 -8.343446918845e-04 -2.990841961534e-04 -1.664423966084e+00 -1.107105283788e-04 -5.799037314229e-04 -1.779616222808e+00 -7.236341635057e-04
40                   -7.113847703353e-04 -3.435997747446e+00 -8.518936410116e-04 -2.261600736619e-04 -1.661223670155e+00 -1.146337290495e-04 -4.852246966734e-04 -1.774774077291e+00 -7.372599119621e-04
41                   -5.623498354664e-04 -3.428402779018e+00 -8.657165002219e-04 -1.637663174546e-04 -1.658162982502e+00 -1.178820218652e-04 -3.985835180118e-04 -1.770239796516e+00 -7.478344783566e-04
42                   -4.252686582476e-04 -3.421416269389e+00 -8.760584259232e-04 -1.059181099662e-04 -1.655397454908e+00 -1.204987089712e-04 -3.193505482814e-04 -1.766018814482e+00 -7.555597169520e-04
43                   -2.964673183477e-04 -3.415068045737e+00 -8.831615717031e-04 -5.023642050411e-05 -1.652945601537e+00 -1.225248736006e-04 -2.462308978436e-04 -1.762122444200e+00 -7.606366981025e-04
44                   -1.764211195505e-04 -3.409251474295e+00 -8.872753047964e-04 1.919255231186e-06 -1.650715804465e+00 -1.240013853512e-04 -1.783403747817e-04 -1.758535669831e+00 -7.632739194452e-04
45                   -6.726265560226e-05 -3.403832848380e+00 -8.886537881493e-04 4.827161459221e-05 -1.648612441663e+00 -1.249706852647e-04 -1.155342701945e-04 -1.755220406716e+00 -7.636831028846e-04
46                   2.999728689502e-05 -3.398742169670e+00 -8.875456962269e-04 8.801871072625e-05 -1.646604278653e+00 -1.254758347194e-04 -5.802142383123e-05 -1.752137891017e+00 -7.620698615076e-04
47                   1.162624279227e-04 -3.393979016479e+00 -8.841860312623e-04 1.221104987096e-04 -1.644714481205e+00 -1.255584428392e-04 -5.848070786845e-06 -1.749264535274e+00 -7.586275884232e-04
48                   1.933429645956e-04 -3.389561772526e+00 -8.787946289311e-04 1.520540454345e-04 -1.642971109085e+00 -1.252574807664e-04 4.128891916114e-05 -1.746590663441e+00 -7.535371481647e-04
49                   2.626553951275e-04 -3.385483518380e+00 -8.715790449636e-04 1.787752936391e-04 -1.641373948626e+00 -1.246093067086e-04 8.388010148835e-05 -1.744109569754e+00 -7.469697382549e-04
50                   3.247432522026e-04 -3.381707713159e+00 -8.627376028974e-04 2.023868633755e-04 -1.639898249325e+00 -1.236485040723e-04 1.223563888271e-04 -1.741809463834e+00 -7.390890988251e-04
51                   3.796426545657e-04 -3.378191453889e+00 -8.524599458435e-04 2.226597856349e-04 -1.638517723823e+00 -1.224084674459e-04 1.569828689308e-04 -1.739673730066e+00 -7.300514783975e-04
52                   4.274639917894e-04 -3.374906310876e+00 -8.409254359035e-04 2.395447835505e-04 -1.637220295615e+00 -1.209211968858e-04 1.879192082389e-04 -1.737686015261e+00 -7.200042390177e-04
53                   4.686605360788e-04 -3.371840411432e+00 -8.283015052757e-04 2.533285100226e-04 -1.636006417769e+00 -1.192168026657e-04 2.153320260562e-04 -1.735833993662e+00 -7.090847026101e-04
54                   5.039136284209e-04 -3.368987284958e+00 -8.147432762773e-04 2.644632664877e-04 -1.634878174242e+00 -1.173232287767e-04 2.394503619332e-04 -1.734109110717e+00 -6.974200475007e-04
55                   5.338817222979e-04 -3.366335776075e+00 -8.003943196728e-04 2.733378350348e-04 -1.633831781620e+00 -1.152663150693e-04 2.605438872631e-04 -1.732503994455e+00 -6.851280046035e-04
56                   5.590519400605e-04 -3.363868860146e+00 -7.853877711359e-04 2.801803561871e-04 -1.632858328071e+00 -1.130700778749e-04 2.788715838734e-04 -1.731010532075e+00 -6.723176932610e-04
57                   5.797647877079e-04 -3.361568764721e+00 -7.698470265804e-04 2.851125779993e-04 -1.631948853133e+00 -1.107569053313e-04 2.946522097086e-04 -1.729619911588e+00 -6.590901212491e-04
58                   5.963180230472e-04 -3.359421571975e+00 -7.538859401779e-04 2.882475247703e-04 -1.631097786471e+00 -1.083475865356e-04 3.080704982768e-04 -1.728323785505e+00 -6.455383536423e-04
59                   6.090427041901e-04 -3.357417588102e+00 -7.376088911237e-04 2.897433211217e-04 -1.630302491646e+00 -1.058612761401e-04 3.192993830684e-04 -1.727115096456e+00 -6.317476149836e-04
60                   6.183087757373e-04 -3.355548772786e+00 -7.211110293513e-04 2.897941209465e-04 -1.629560816895e+00 -1.033155017989e-04 3.285146547908e-04 -1.725987955891e+00 -6.177955275524e-04
61                   6.244869197441e-04 -3.353806500418e+00 -7.044787488172e-04 2.885927244105e-04 -1.628869491914e+00 -1.007262207689e-04 3.358941953336e-04 -1.724937008504e+00 -6.037525280484e-04
62                   6.279065918990e-04 -3.352181293566e+00 -6.877903502758e-04 2.862979818923e-04 -1.628224309913e+00 -9.810800344967e-05 3.416086100067e-04 -1.723956983653e+00 -5.896823468262e-04
63                   6.288485324525e-04 -3.350663977646e+00 -6.711165772184e-04 2.830346336742e-04 -1.627621269415e+00 -9.547408775762e-05 3.458138987783e-04 -1.723042708231e+00 -5.756424894608e-04
64                   6.275604762595e-04 -3.349246654555e+00 -6.545210525433e-04 2.789090621271e-04 -1.627057289206e+00 -9.283644820587e-05 3.486514141324e-04 -1.722189365349e+00 -5.616846043375e-04
65                   6.242772483572e-04 -3.347922700619e+00 -6.380606526890e-04 2.740251557710e-04 -1.626530045808e+00 -9.020585694455e-05 3.502520925862e-04 -1.721392654811e+00 -5.478547957445e-04
66                   6.192297334426e-04 -3.346686139168e+00 -6.217858887846e-04 2.684895310379e-04 -1.626037407700e+00 -8.759195237709e-05 3.507402024047e-04 -1.720648731468e+00 -5.341939364075e-04
