# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    4.615284891474e+01 -7.138563935030e-03 6.512271661422e-23 2.520018068427e+01 -6.440952920063e-03 0.000000000000e+00 2.095266823048e+01 -6.976110149675e-04 6.512271661422e-23
2                    4.049576142210e+01 -7.924721812038e-03 4.146330170476e-23 2.636592410586e+01 -5.721099690278e-03 0.000000000000e+00 1.412983731624e+01 -2.203622121760e-03 4.146330170476e-23
3                    2.340596180599e+01 -7.495484054823e-03 -7.350627322684e-24 1.358072508821e+01 -4.536176228955e-03 0.000000000000e+00 9.825236717778e+00 -2.959307825868e-03 -7.350627322684e-24
4                    8.669920753700e+00 -1.145359333076e-02 -3.797735544417e-23 1.793755401966e+00 -7.870509946305e-03 0.000000000000e+00 6.876165351734e+00 -3.583083384456e-03 -3.797735544417e-23
5                    3.741800736018e+00 -1.762583039457e-02 -3.515833441173e-23 -1.630503615440e+00 -1.261038315316e-02 0.000000000000e+00 5.372304351458e+00 -5.015447241412e-03 -3.515833441173e-23
6                    6.619304571506e+00 -1.995377786573e-02 -1.361479892433e-23 1.484073678770e+00 -1.316004494816e-02 0.000000000000e+00 5.135230892736e+00 -6.793732917575e-03 -1.361479892433e-23
7                    1.110342145452e+01 -1.681792678294e-02 4.808830460969e-24 5.605200352000e+00 -9.062983610634e-03 0.000000000000e+00 5.498221102523e+00 -7.754943172305e-03 4.808830460969e-24
8                    1.285139371206e+01 -1.268828580448e-02 9.589486574565e-24 7.089563772840e+00 -5.142830542876e-03 0.000000000000e+00 5.761829939221e+00 -7.545455261606e-03 9.589486574565e-24
9                    1.154173469191e+01 -1.254366750765e-02 3.828418902754e-24 5.922899290538e+00 -5.551904258219e-03 0.000000000000e+00 5.618835401368e+00 -6.991763249435e-03 3.828418902754e-24
10                   9.263407678874e+00 -1.655735128559e-02 -3.691339542097e-24 4.070976728864e+00 -9.462120218402e-03 0.000000000000e+00 5.192430950010e+00 -7.095231067185e-03 -3.691339542097e-24
11                   7.908585337816e+00 -2.071412378193e-02 -6.755233936190e-24 3.135194719388e+00 -1.272781636082e-02 0.000000000000e+00 4.773390618428e+00 -7.986307421110e-03 -6.755233936190e-24
12                   7.875220571093e+00 -2.139071229151e-02 -4.813266895924e-24 3.331398214962e+00 -1.245260824185e-02 0.000000000000e+00 4.543822356131e+00 -8.938104049660e-03 -4.813266895924e-24
13                   8.436200235669e+00 -1.871560842677e-02 -1.023988043821e-24 3.946695676916e+00 -9.507759957461e-03 0.000000000000e+00 4.489504558754e+00 -9.207848469312e-03 -1.023988043821e-24
14                   8.769353333692e+00 -1.561883255244e-02 1.418687644406e-24 4.280182742827e+00 -6.882563545133e-03 0.000000000000e+00 4.489170590865e+00 -8.736269007305e-03 1.418687644406e-24
15                   8.602088466064e+00 -1.459361872886e-02 1.514460877116e-24 4.157615673483e+00 -6.536716084872e-03 0.000000000000e+00 4.444472792581e+00 -8.056902643984e-03 1.514460877116e-24
16                   8.168858767683e+00 -1.559492288659e-02 3.077097412814e-25 3.828910039309e+00 -7.900944686029e-03 0.000000000000e+00 4.339948728373e+00 -7.693978200556e-03 3.077097412814e-25
17                   7.812152010627e+00 -1.676693394194e-02 -6.299216782302e-25 3.594000585227e+00 -9.049016667943e-03 0.000000000000e+00 4.218151425399e+00 -7.717917273995e-03 -6.299216782302e-25
18                   7.678490794003e+00 -1.653913688472e-02 -5.312996197877e-25 3.555547210005e+00 -8.730953310214e-03 0.000000000000e+00 4.122943583997e+00 -7.808183574505e-03 -5.312996197877e-25
19                   7.692479900283e+00 -1.491923194903e-02 2.961498891780e-25 3.626819960832e+00 -7.274517019917e-03 0.000000000000e+00 4.065659939451e+00 -7.644714929112e-03 2.961498891780e-25
20                   7.708369894963e+00 -1.305334852877e-02 1.092274172137e-24 3.678836290856e+00 -5.868172686719e-03 0.000000000000e+00 4.029533604108e+00 -7.185175842052e-03 1.092274172137e-24
21                   7.648755462223e+00 -1.192838712287e-02 1.383766465606e-24 3.655529454358e+00 -5.303138356246e-03 0.000000000000e+00 3.993226007865e+00 -6.625248766626e-03 1.383766465606e-24
22                   7.532543064283e+00 -1.160781697400e-02 1.247770230717e-24 3.584423297705e+00 -5.437896145903e-03 0.000000000000e+00 3.948119766578e+00 -6.169920828099e-03 1.247770230717e-24
23                   7.418769041509e+00 -1.146069089223e-02 1.057968477602e-24 3.519683931155e+00 -5.595548580525e-03 0.000000000000e+00 3.899085110354e+00 -5.865142311708e-03 1.057968477602e-24
24                   7.344346725997e+00 -1.091185020030e-02 1.086873950187e-24 3.489421186835e+00 -5.298288288691e-03 0.000000000000e+00 3.854925539162e+00 -5.613561911609e-03 1.086873950187e-24
25                   7.304902975361e+00 -9.906245807104e-03 1.325402636681e-24 3.485071906394e+00 -4.601959092603e-03 0.000000000000e+00 3.819831068967e+00 -5.304286714500e-03 1.325402636681e-24
26                   7.275144007758e+00 -8.789887746269e-03 1.590999098381e-24 3.483322083944e+00 -3.878862451028e-03 0.000000000000e+00 3.791821923814e+00 -4.911025295241e-03 1.590999098381e-24
27                   7.236513560732e+00 -7.902833938060e-03 1.737481012224e-24 3.470010555510e+00 -3.414719182915e-03 0.000000000000e+00 3.766503005222e+00 -4.488114755145e-03 1.737481012224e-24
28                   7.188176045628e+00 -7.305432258435e-03 1.761797887347e-24 3.447021819637e+00 -3.204031957904e-03 0.000000000000e+00 3.741154225990e+00 -4.101400300530e-03 1.761797887347e-24
29                   7.139969153578e+00 -6.825458654838e-03 1.756088035176e-24 3.424031863476e+00 -3.053064261603e-03 0.000000000000e+00 3.715937290102e+00 -3.772394393236e-03 1.756088035176e-24
30                   7.100144164635e+00 -6.278131544828e-03 1.798276303690e-24 3.407694503485e+00 -2.800797960997e-03 0.000000000000e+00 3.692449661150e+00 -3.477333583831e-03 1.798276303690e-24
31                   7.069412825092e+00 -5.621485633325e-03 1.893021252251e-24 3.397636217898e+00 -2.438310162683e-03 0.000000000000e+00 3.671776607193e+00 -3.183175470642e-03 1.893021252251e-24
32                   7.043292694775e+00 -4.940508130640e-03 1.994778859377e-24 3.389567834929e+00 -2.062153495012e-03 0.000000000000e+00 3.653724859846e+00 -2.878354635628e-03 1.994778859377e-24
33                   7.017514063597e+00 -4.334608265689e-03 2.064443161499e-24 3.380157472792e+00 -1.759585738150e-03 0.000000000000e+00 3.637356590805e+00 -2.575022527539e-03 2.064443161499e-24
34                   6.991075941721e+00 -3.833363199206e-03 2.100191716770e-24 3.369174536026e+00 -1.542205383639e-03 0.000000000000e+00 3.621901405695e+00 -2.291157815567e-03 2.100191716770e-24
35                   6.965542951789e+00 -3.398279989067e-03 2.125789877943e-24 3.358350177785e+00 -1.364013439804e-03 0.000000000000e+00 3.607192774004e+00 -2.034266549263e-03 2.125789877943e-24
36                   6.942639166255e+00 -2.977783366335e-03 2.161474963747e-24 3.349165749583e+00 -1.178528675768e-03 0.000000000000e+00 3.593473416672e+00 -1.799254690568e-03 2.161474963747e-24
37                   6.922700288333e+00 -2.552506651548e-03 2.208378370408e-24 3.341735249989e+00 -9.754180508192e-04 0.000000000000e+00 3.580965038344e+00 -1.577088600728e-03 2.208378370408e-24
38                   6.904852018099e+00 -2.137849361991e-03 2.254860193836e-24 3.335222913883e+00 -7.744978063362e-04 0.000000000000e+00 3.569629104216e+00 -1.363351555655e-03 2.254860193836e-24
39                   6.888080377784e+00 -1.757975855152e-03 2.291377473886e-24 3.328847932168e+00 -5.981683923067e-04 0.000000000000e+00 3.559232445616e+00 -1.159807462846e-03 2.291377473886e-24
40                   6.871995494892e+00 -1.422769540671e-03 2.318073434094e-24 3.322447340310e+00 -4.523201473237e-04 0.000000000000e+00 3.549548154582e+00 -9.704493933468e-04 2.318073434094e-24
41                   6.856805558036e+00 -1.124699670933e-03 2.341263017822e-24 3.316325965003e+00 -3.275326349091e-04 0.000000000000e+00 3.540479593033e+00 -7.971670360236e-04 2.341263017822e-24
42                   6.842832538779e+00 -8.505373164951e-04 2.365894951106e-24 3.310794909816e+00 -2.118362199324e-04 0.000000000000e+00 3.532037628963e+00 -6.387010965627e-04 2.365894951106e-24
43                   6.830136091474e+00 -5.929346366953e-04 2.391971206829e-24 3.305891203074e+00 -1.004728410082e-04 0.000000000000e+00 3.524244888400e+00 -4.924617956871e-04 2.391971206829e-24
44                   6.818502948591e+00 -3.528422391010e-04 2.416547840255e-24 3.301431608929e+00 3.838510462373e-06 0.000000000000e+00 3.517071339661e+00 -3.566807495634e-04 2.416547840255e-24
45                   6.807665696759e+00 -1.345253112044e-04 2.437520515837e-24 3.297224883327e+00 9.654322918454e-05 0.000000000000e+00 3.510440813432e+00 -2.310685403889e-04 2.437520515837e-24
