# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	1.770211899510e-04	2	1.000000000000e+00	8.472717544470e-04	2	false	GAMGPCG	1.000000000000e+00	2.035890267190e-04	5	true
2                   	DILUPBiCGStab	3.013587110740e-01	2.703622474540e-04	2	5.563900505580e-01	4.303464241730e-04	2	false	GAMGPCG	5.014203226670e-01	1.073693759700e-04	4	true
3                   	DILUPBiCGStab	1.463736161130e-01	1.254176856310e-04	2	2.452460855680e-01	1.828306942380e-04	2	false	GAMGPCG	7.871161727870e-01	4.846207339680e-04	4	true
4                   	DILUPBiCGStab	5.308869133540e-02	4.743653937520e-05	2	5.955495640210e-02	5.333227371090e-05	2	false	GAMGPCG	5.852438029090e-01	4.959080584780e-04	4	true
5                   	DILUPBiCGStab	4.061324460900e-02	2.959031472620e-05	2	7.744378456600e-02	6.666292719160e-05	2	false	GAMGPCG	5.175820160230e-01	1.395317713890e-04	4	true
6                   	DILUPBiCGStab	4.151404088300e-02	2.666576282940e-05	2	1.040877847910e-01	8.060771817380e-05	2	false	GAMGPCG	6.731315887270e-01	3.619577755990e-04	4	true
7                   	DILUPBiCGStab	2.039743225630e-02	1.728850218890e-05	2	5.066017157650e-02	4.252360669340e-05	2	false	GAMGPCG	5.341217799430e-01	4.500032157830e-04	4	true
8                   	DILUPBiCGStab	2.555832650610e-02	2.198310852030e-05	2	5.522594044180e-02	4.672474027020e-05	2	false	GAMGPCG	4.134713653960e-01	1.306013129620e-04	4	true
9                   	DILUPBiCGStab	2.656511910620e-02	2.328297131830e-05	2	5.939294831710e-02	4.587075598760e-05	2	false	GAMGPCG	4.291691032840e-01	1.770985070470e-04	4	true
10                  	DILUPBiCGStab	1.887040603140e-02	1.608564173370e-05	2	2.855482461170e-02	2.382873682460e-05	2	false	GAMGPCG	3.421330452710e-01	2.346367075500e-04	4	true
11                  	DILUPBiCGStab	1.395817153750e-02	1.215675206600e-05	2	2.247201072950e-02	1.806800651570e-06	2	false	GAMGPCG	2.584516375630e-01	6.058839940540e-05	4	true
12                  	DILUPBiCGStab	1.205248842530e-02	1.035249487100e-05	2	2.578013394570e-02	2.425985406680e-05	2	false	GAMGPCG	2.666822283130e-01	1.647493429710e-04	4	true
13                  	DILUPBiCGStab	1.097017229360e-02	8.335527083440e-06	2	2.370975777550e-02	2.211995111870e-05	2	false	GAMGPCG	2.138482120730e-01	1.952494206240e-04	4	true
14                  	DILUPBiCGStab	1.132253782560e-02	8.296743456280e-06	2	2.271386188440e-02	2.085164251600e-05	2	false	GAMGPCG	1.556736817180e-01	5.531034553580e-05	4	true
15                  	DILUPBiCGStab	1.131305265320e-02	8.099738120440e-06	2	2.053968698810e-02	1.763704280880e-05	2	false	GAMGPCG	1.508101881010e-01	4.474408541100e-05	4	true
16                  	DILUPBiCGStab	1.024735723520e-02	7.133111377600e-06	2	1.576227040040e-02	1.165379030780e-05	2	false	GAMGPCG	1.248073121950e-01	7.225370283540e-05	4	true
17                  	DILUPBiCGStab	8.977335689760e-03	6.179469824530e-06	2	1.532324868410e-02	1.244348959500e-05	2	false	GAMGPCG	9.314018502530e-02	1.626789352490e-05	4	true
18                  	DILUPBiCGStab	8.107502723590e-03	5.531089104640e-06	2	1.593842755430e-02	1.331571787810e-05	2	false	GAMGPCG	8.985164451250e-02	5.866107662110e-05	4	true
19                  	DILUPBiCGStab	7.721698113330e-03	4.981719560150e-06	2	1.574951772360e-02	1.248948372050e-05	2	false	GAMGPCG	7.784345683160e-02	1.888854749740e-05	5	true
20                  	DILUPBiCGStab	7.550943705450e-03	4.700355529060e-06	2	1.488756012310e-02	1.105693748370e-05	2	false	GAMGPCG	6.038210306030e-02	2.515383453870e-05	4	true
21                  	DILUPBiCGStab	7.282227543460e-03	4.463483731670e-06	2	1.356456555360e-02	9.390991951350e-06	2	false	GAMGPCG	5.402149461070e-02	7.525857661050e-06	4	true
22                  	DILUPBiCGStab	6.854682721510e-03	4.160738562310e-06	2	1.241201521180e-02	8.201041350750e-06	2	false	GAMGPCG	4.711027756980e-02	1.504748842210e-05	4	true
23                  	DILUPBiCGStab	6.377819178320e-03	3.860212225520e-06	2	1.202073347940e-02	7.949389117970e-06	2	false	GAMGPCG	4.116006467430e-02	6.175903452600e-06	4	true
24                  	DILUPBiCGStab	5.979526967750e-03	3.576611529250e-06	2	1.185451703730e-02	7.914533701460e-06	2	false	GAMGPCG	3.810909842540e-02	1.919930178620e-05	4	true
25                  	DILUPBiCGStab	5.677741915230e-03	3.338110493200e-06	2	1.148415196850e-02	7.579743944440e-06	2	false	GAMGPCG	3.580627208470e-02	3.185627525730e-05	4	true
26                  	DILUPBiCGStab	5.430897491190e-03	3.145252594850e-06	2	1.088795182070e-02	7.032502876860e-06	2	false	GAMGPCG	3.281909237770e-02	1.296312522560e-05	4	true
27                  	DILUPBiCGStab	5.180986571100e-03	2.970173685390e-06	2	1.019402881750e-02	6.485135440100e-06	2	false	GAMGPCG	2.883373142850e-02	5.326902246730e-06	4	true
28                  	DILUPBiCGStab	4.912033731430e-03	2.796131862690e-06	2	9.619395349440e-03	6.073921028990e-06	2	false	GAMGPCG	2.564587961350e-02	6.542002293810e-06	4	true
29                  	DILUPBiCGStab	4.646899940670e-03	2.628904837570e-06	2	9.243979599940e-03	5.813623427880e-06	2	false	GAMGPCG	2.382235617630e-02	4.386013238780e-06	4	true
30                  	DILUPBiCGStab	4.401157110490e-03	2.472462666300e-06	2	8.930985784620e-03	5.608535349920e-06	2	false	GAMGPCG	2.253253119900e-02	9.093534744540e-06	4	true
31                  	DILUPBiCGStab	4.180511591380e-03	2.331420885420e-06	2	8.553281350690e-03	5.357935220430e-06	2	false	GAMGPCG	2.182279466560e-02	9.288165283010e-06	4	true
32                  	DILUPBiCGStab	3.976986273080e-03	2.202862120020e-06	2	8.113222220950e-03	5.066947623740e-06	2	false	GAMGPCG	2.077942603500e-02	5.594683165460e-06	4	true
33                  	DILUPBiCGStab	3.780740363550e-03	2.080423762460e-06	2	7.673971364730e-03	4.780746725580e-06	2	false	GAMGPCG	1.913002741680e-02	4.548029800490e-06	4	true
34                  	DILUPBiCGStab	3.588519810970e-03	1.962158748390e-06	2	7.294397586450e-03	4.530232611440e-06	2	false	GAMGPCG	1.746253317980e-02	3.974580784650e-06	4	true
35                  	DILUPBiCGStab	3.403314890620e-03	1.850068085300e-06	2	6.973040876360e-03	4.318553940940e-06	2	false	GAMGPCG	1.640149553720e-02	4.340702064880e-06	4	true
36                  	DILUPBiCGStab	3.228824966840e-03	1.745705773320e-06	2	6.669327564600e-03	4.122521656640e-06	2	false	GAMGPCG	1.574735507130e-02	4.825012763580e-06	4	true
37                  	DILUPBiCGStab	3.065399349580e-03	1.649307854820e-06	2	6.352850564430e-03	3.922354400770e-06	2	false	GAMGPCG	1.510549902230e-02	3.876250740570e-06	4	true
38                  	DILUPBiCGStab	2.910672451830e-03	1.558932213560e-06	2	6.026419944730e-03	3.716855807640e-06	2	false	GAMGPCG	1.431478223120e-02	3.178430089810e-06	4	true
39                  	DILUPBiCGStab	2.762398392820e-03	1.472621301660e-06	2	5.714604279370e-03	3.517076380950e-06	2	false	GAMGPCG	1.346843624580e-02	3.174436415160e-06	4	true
40                  	DILUPBiCGStab	2.619989294510e-03	1.390095605600e-06	2	5.431886562230e-03	3.332758882890e-06	2	false	GAMGPCG	1.258812970970e-02	3.151725746700e-06	4	true
41                  	DILUPBiCGStab	2.484119473140e-03	1.311873986920e-06	2	5.172714317490e-03	3.163745340330e-06	2	false	GAMGPCG	1.192978975610e-02	3.091162474470e-06	4	true
42                  	DILUPBiCGStab	2.355355868930e-03	1.238796421440e-06	2	4.923219062120e-03	3.003256181340e-06	2	false	GAMGPCG	1.142342696520e-02	2.760246778840e-06	4	true
43                  	DILUPBiCGStab	2.233450134150e-03	1.170581981540e-06	2	4.675777029010e-03	2.846101705740e-06	2	false	GAMGPCG	1.089113661950e-02	2.268520452610e-06	4	true
44                  	DILUPBiCGStab	2.117554079510e-03	1.106415719710e-06	2	4.433177526810e-03	2.692466743720e-06	2	false	GAMGPCG	1.032242087270e-02	2.029758238200e-06	4	true
45                  	DILUPBiCGStab	2.006923407020e-03	1.045344358950e-06	2	4.202940872880e-03	2.545257930760e-06	2	false	GAMGPCG	9.764512674890e-03	2.003575435160e-06	4	true
46                  	DILUPBiCGStab	1.901328676440e-03	9.871840022440e-07	2	3.988282725290e-03	2.407072433950e-06	2	false	GAMGPCG	9.231527479270e-03	1.979960689290e-06	4	true
47                  	DILUPBiCGStab	1.800990267460e-03	9.322899131320e-07	2	3.786607030790e-03	2.277888843550e-06	2	false	GAMGPCG	8.761387725630e-03	1.873423495700e-06	4	true
48                  	DILUPBiCGStab	1.705812111180e-03	8.807600238490e-07	2	3.593247652030e-03	2.155320814410e-06	2	false	GAMGPCG	8.338561694750e-03	1.657522907360e-06	4	true
49                  	DILUPBiCGStab	1.615577729780e-03	8.323448762990e-07	2	3.405960781100e-03	2.037779784730e-06	2	false	GAMGPCG	7.925995293300e-03	1.440614041690e-06	4	true
50                  	DILUPBiCGStab	1.529905379190e-03	7.865577090660e-07	2	3.226003811550e-03	1.925057802260e-06	2	false	GAMGPCG	7.514827719610e-03	1.318152604030e-06	4	true
51                  	DILUPBiCGStab	1.448432287530e-03	7.430636531470e-07	2	3.055249484980e-03	1.818031824110e-06	2	false	GAMGPCG	7.118881760920e-03	1.264107858990e-06	4	true
52                  	DILUPBiCGStab	1.370869503500e-03	7.017421281910e-07	2	2.894166810330e-03	1.717266522480e-06	2	false	GAMGPCG	6.746253711170e-03	1.216812862750e-06	4	true
53                  	DILUPBiCGStab	1.297148075400e-03	6.626174043240e-07	2	2.741629610390e-03	1.622413975510e-06	2	false	GAMGPCG	6.404554830590e-03	1.137231301930e-06	4	true
54                  	DILUPBiCGStab	1.227212438010e-03	6.256975701290e-07	2	2.596145036200e-03	1.532505244860e-06	2	false	GAMGPCG	6.080774608470e-03	1.027732729140e-06	4	true
55                  	DILUPBiCGStab	1.160917406340e-03	5.908721318260e-07	2	2.457007854750e-03	1.446930051480e-06	2	false	GAMGPCG	5.765739309550e-03	9.263342663060e-07	4	true
56                  	DILUPBiCGStab	1.098047733200e-03	5.579687903060e-07	2	2.324398466840e-03	1.365568024570e-06	2	false	GAMGPCG	5.461087876090e-03	8.564068619680e-07	4	true
57                  	DILUPBiCGStab	1.038377693810e-03	5.267719748420e-07	2	2.198663932930e-03	1.288606004230e-06	2	false	GAMGPCG	5.172182692450e-03	8.093628990510e-07	4	true
58                  	DILUPBiCGStab	9.816902556240e-04	4.972260827600e-07	2	2.079678948490e-03	1.215965578120e-06	2	false	GAMGPCG	4.899853259920e-03	7.657075194160e-07	4	true
59                  	DILUPBiCGStab	9.278885279270e-04	4.692765970250e-07	2	1.966822873170e-03	1.147423747410e-06	2	false	GAMGPCG	4.643141922580e-03	7.133626248210e-07	4	true
60                  	DILUPBiCGStab	8.768797989460e-04	4.428859564380e-07	2	1.859549851360e-03	1.082607570500e-06	2	false	GAMGPCG	4.398267932440e-03	6.553658789660e-07	4	true
61                  	DILUPBiCGStab	8.285610579020e-04	4.179775293300e-07	2	1.757545556810e-03	1.021185092770e-06	2	false	GAMGPCG	4.163526997880e-03	6.030382123480e-07	4	true
62                  	DILUPBiCGStab	7.827904059670e-04	3.944363357950e-07	2	1.660703842050e-03	9.630479918170e-07	2	false	GAMGPCG	3.939803237300e-03	5.613464917240e-07	4	true
63                  	DILUPBiCGStab	7.394110302550e-04	3.721701984000e-07	2	1.568969661870e-03	9.081071671100e-07	2	false	GAMGPCG	3.727555242920e-03	5.273017848890e-07	4	true
64                  	DILUPBiCGStab	6.982907943600e-04	3.511017623540e-07	2	1.482155702200e-03	8.562638057000e-07	2	false	GAMGPCG	3.526870196490e-03	4.952536103020e-07	4	true
65                  	DILUPBiCGStab	6.593313412110e-04	3.311878553250e-07	2	1.399933368180e-03	8.073199371310e-07	2	false	GAMGPCG	3.336445494170e-03	4.622143443300e-07	4	true
66                  	DILUPBiCGStab	6.224503976470e-04	3.123854967820e-07	2	1.321983673760e-03	7.610789685370e-07	2	false	GAMGPCG	3.155176531710e-03	4.295222972630e-07	4	true
67                  	DILUPBiCGStab	5.875600332780e-04	2.946508492190e-07	2	1.248105923330e-03	7.173913445220e-07	2	false	GAMGPCG	2.982426558600e-03	3.997587368700e-07	4	true
68                  	DILUPBiCGStab	5.545551326680e-04	2.779043070000e-07	2	1.178162504550e-03	6.761255286460e-07	2	false	GAMGPCG	2.818228280480e-03	3.738383533580e-07	4	true
69                  	DILUPBiCGStab	5.233321274390e-04	2.620758505230e-07	2	1.111991446440e-03	6.371756300510e-07	2	false	GAMGPCG	2.662658767720e-03	3.508083809890e-07	4	true
70                  	DILUPBiCGStab	4.937923572020e-04	2.471114889210e-07	2	1.049431326330e-03	6.004263360230e-07	2	false	GAMGPCG	2.515388882110e-03	3.291611371570e-07	4	true
71                  	DILUPBiCGStab	4.658509258730e-04	2.329743043750e-07	2	9.902531802620e-04	5.657648437700e-07	2	false	GAMGPCG	2.375814869110e-03	3.082275002940e-07	4	true
72                  	DILUPBiCGStab	4.394359390620e-04	2.196310895310e-07	2	9.342554640960e-04	5.330586884470e-07	2	false	GAMGPCG	2.243368673290e-03	2.882761057520e-07	4	true
73                  	DILUPBiCGStab	4.144777231050e-04	2.070432029790e-07	2	8.812806922000e-04	5.021940669680e-07	2	false	GAMGPCG	2.117748598630e-03	2.698792051780e-07	4	true
74                  	DILUPBiCGStab	3.908954306190e-04	1.951613219510e-07	2	8.311931194550e-04	4.730748602600e-07	2	false	GAMGPCG	1.998781591890e-03	2.531779298740e-07	4	true
75                  	DILUPBiCGStab	3.686125742500e-04	1.839463925100e-07	2	7.838610359650e-04	4.456190003600e-07	2	false	GAMGPCG	1.886236364550e-03	2.378657694700e-07	4	true
76                  	DILUPBiCGStab	3.475594211940e-04	1.733610599650e-07	2	7.391572103160e-04	4.197359797360e-07	2	false	GAMGPCG	1.779791733650e-03	2.234608871450e-07	4	true
77                  	DILUPBiCGStab	3.276729811020e-04	1.633686311120e-07	2	6.969236619450e-04	3.953382226890e-07	2	false	GAMGPCG	1.679095376230e-03	2.097732913330e-07	4	true
78                  	DILUPBiCGStab	3.088944338080e-04	1.539430680850e-07	2	6.570230302380e-04	3.723407325810e-07	2	false	GAMGPCG	1.583795984600e-03	1.968726264160e-07	4	true
79                  	DILUPBiCGStab	2.911665770540e-04	1.450556188710e-07	2	6.193337975340e-04	3.506591603640e-07	2	false	GAMGPCG	1.493642796220e-03	1.848847469660e-07	4	true
80                  	DILUPBiCGStab	2.744325763380e-04	1.366713561850e-07	2	5.837457815380e-04	3.302265829810e-07	2	false	GAMGPCG	1.408431801750e-03	1.737862799840e-07	4	true
81                  	DILUPBiCGStab	2.586375216770e-04	1.287603387830e-07	2	5.501505536770e-04	3.109712573160e-07	2	false	GAMGPCG	1.327934037250e-03	1.634343404150e-07	4	true
82                  	DILUPBiCGStab	2.437301608000e-04	1.212972035450e-07	2	5.184413794530e-04	2.928263247660e-07	2	false	GAMGPCG	1.251889757110e-03	1.536930862060e-07	4	true
83                  	DILUPBiCGStab	2.296640074280e-04	1.142579915120e-07	2	4.885152149970e-04	2.757317518540e-07	2	false	GAMGPCG	1.180043324930e-03	1.445124572820e-07	4	true
84                  	DILUPBiCGStab	2.163959051670e-04	1.076197031630e-07	2	4.602748428860e-04	2.596237383870e-07	2	false	GAMGPCG	1.112179294790e-03	1.358925691910e-07	4	true
85                  	DILUPBiCGStab	2.038830688740e-04	1.013609559010e-07	2	4.336309943350e-04	2.444448480590e-07	2	false	GAMGPCG	1.048118097590e-03	1.278331269110e-07	4	true
86                  	DILUPBiCGStab	1.920815351910e-04	9.546055789790e-08	2	4.084993282860e-04	2.301429233100e-07	2	false	GAMGPCG	9.876562078850e-04	1.202980284410e-07	4	true
87                  	DILUPBiCGStab	1.809511042340e-04	8.989898660420e-08	2	3.847962437980e-04	2.166713690620e-07	2	false	GAMGPCG	9.306021760910e-04	1.132299994380e-07	4	true
88                  	DILUPBiCGStab	1.704550485080e-04	8.465629917510e-08	2	3.624457953520e-04	2.039817992030e-07	2	false	GAMGPCG	8.767712168160e-04	1.066032319200e-07	4	true
89                  	DILUPBiCGStab	1.605589021430e-04	7.971557524560e-08	2	3.413704845050e-04	1.920293868190e-07	2	false	GAMGPCG	8.259772791440e-04	1.003812934610e-07	4	true
90                  	DILUPBiCGStab	1.512303077210e-04	7.505942466310e-08	2	3.214988441010e-04	1.807712609180e-07	2	false	GAMGPCG	7.780537308120e-04	9.452311670330e-08	4	true
91                  	DILUPBiCGStab	1.424359642430e-04	7.067247126530e-08	2	3.027644655870e-04	1.701674901130e-07	2	false	GAMGPCG	7.328487306720e-04	8.902008362170e-08	4	true
92                  	DILUPBiCGStab	1.341459222070e-04	6.653904580120e-08	2	2.851046245010e-04	1.601806909470e-07	2	false	GAMGPCG	6.902234625290e-04	8.384842955570e-08	4	true
93                  	DILUPBiCGStab	1.263318042260e-04	6.264446780320e-08	2	2.684604259550e-04	1.507758970920e-07	2	false	GAMGPCG	6.500389590640e-04	7.898344228780e-08	4	true
94                  	DILUPBiCGStab	1.189673835650e-04	5.897521683830e-08	2	2.527756601190e-04	1.419211886730e-07	2	false	GAMGPCG	6.121517078120e-04	7.440001656960e-08	4	true
95                  	DILUPBiCGStab	1.120272019930e-04	5.551861102000e-08	2	2.379949066660e-04	1.335843155390e-07	2	false	GAMGPCG	5.764308653190e-04	7.008129390100e-08	4	true
96                  	DILUPBiCGStab	1.054872624690e-04	5.226264574030e-08	2	2.240677951690e-04	1.257349646580e-07	2	false	GAMGPCG	5.427572225910e-04	6.601240738880e-08	4	true
97                  	DILUPBiCGStab	9.932511600280e-05	4.919602946140e-08	2	2.109471770660e-04	1.183443221580e-07	2	false	GAMGPCG	5.110190192070e-04	6.218120945180e-08	4	true
98                  	DILUPBiCGStab	9.351936295890e-05	4.630791459950e-08	2	1.985868780860e-04	1.113857208780e-07	2	false	GAMGPCG	4.811103340010e-04	5.857365804820e-08	4	true
99                  	DILUPBiCGStab	8.804979259320e-05	4.358784219580e-08	2	1.869432375580e-04	1.048343696700e-07	2	false	GAMGPCG	4.529298859480e-04	5.517403249880e-08	4	true
100                 	DILUPBiCGStab	8.289727842100e-05	4.102619250520e-08	2	1.759753321250e-04	9.866656985230e-08	2	false	GAMGPCG	4.263813040400e-04	5.196913255730e-08	4	true
101                 	DILUPBiCGStab	7.804410991910e-05	3.861389887750e-08	2	1.656451149410e-04	9.285977879670e-08	2	false	GAMGPCG	4.013727624950e-04	4.894941599890e-08	4	true
102                 	DILUPBiCGStab	7.347287501380e-05	3.634241414390e-08	2	1.559157154110e-04	8.739300951850e-08	2	false	GAMGPCG	3.778132260670e-04	4.610382085240e-08	4	true
103                 	DILUPBiCGStab	6.916757987860e-05	3.420372836630e-08	2	1.467528168640e-04	8.224656896360e-08	2	false	GAMGPCG	3.556210778050e-04	4.342282376530e-08	4	true
104                 	DILUPBiCGStab	6.511275350380e-05	3.219025461830e-08	2	1.381240675220e-04	7.740188778730e-08	2	false	GAMGPCG	3.347221418450e-04	4.089615438200e-08	4	true
105                 	DILUPBiCGStab	6.129411533500e-05	3.029459481220e-08	2	1.299987471610e-04	7.284140479830e-08	2	false	GAMGPCG	3.150408170900e-04	3.851456553900e-08	4	true
106                 	DILUPBiCGStab	5.769806514770e-05	2.850995435790e-08	2	1.223479440790e-04	6.854899864880e-08	2	false	GAMGPCG	2.965055610100e-04	3.626953099710e-08	4	true
107                 	DILUPBiCGStab	5.431170523580e-05	2.682987481350e-08	2	1.151442945030e-04	6.450853102630e-08	2	false	GAMGPCG	2.790510629530e-04	3.415366268880e-08	4	true
108                 	DILUPBiCGStab	5.112291325060e-05	2.524825986220e-08	2	1.083620153340e-04	6.070532194810e-08	2	false	GAMGPCG	2.626154433140e-04	3.215984412060e-08	4	true
109                 	DILUPBiCGStab	4.812020230670e-05	2.375942131960e-08	2	1.019767197130e-04	5.712561244640e-08	2	false	GAMGPCG	2.471416727830e-04	3.028103504720e-08	4	true
110                 	DILUPBiCGStab	4.529282902100e-05	2.235796447410e-08	2	9.596545978610e-05	5.375629457740e-08	2	false	GAMGPCG	2.325733943750e-04	2.851035954540e-08	4	true
111                 	DILUPBiCGStab	4.263082933970e-05	2.103878093100e-08	2	9.030673592160e-05	5.058510812150e-08	2	false	GAMGPCG	2.188591183720e-04	2.684141431680e-08	4	true
112                 	DILUPBiCGStab	4.012449607410e-05	1.979708386980e-08	2	8.498029827520e-05	4.760041162190e-08	2	false	GAMGPCG	2.059485575220e-04	2.526841317130e-08	4	true
113                 	DILUPBiCGStab	3.776487182300e-05	1.862843038020e-08	2	7.996709043730e-05	4.479126814080e-08	2	false	GAMGPCG	1.937949385260e-04	2.378596443200e-08	4	true
114                 	DILUPBiCGStab	3.554346980840e-05	1.752855905260e-08	2	7.524837748170e-05	4.214746718310e-08	2	false	GAMGPCG	1.823544794560e-04	2.238903198190e-08	4	true
115                 	DILUPBiCGStab	3.345216274110e-05	1.649339204860e-08	2	7.080689431500e-05	3.965934602680e-08	2	false	GAMGPCG	1.715864458620e-04	2.107291989020e-08	4	true
116                 	DILUPBiCGStab	3.148337995020e-05	1.551913563090e-08	2	6.662649391840e-05	3.731769402290e-08	2	false	GAMGPCG	1.614514991220e-04	1.983317497320e-08	4	true
117                 	DILUPBiCGStab	2.962999774210e-05	1.460225290260e-08	2	6.269195568020e-05	3.511392650360e-08	2	false	GAMGPCG	1.519124733890e-04	1.866569313500e-08	4	true
118                 	DILUPBiCGStab	2.788530271290e-05	1.373942542180e-08	2	5.898905145780e-05	3.304000605880e-08	2	false	GAMGPCG	1.429349702220e-04	1.756581460850e-08	4	true
